SSE,B,19620,19国债10,0.01,108.1
SSE,B,19621,19国债11,0.01,100.25
SSE,B,19623,19国债13,0.01,101.14
SSE,B,19625,19国债15,0.01,102.31
SSE,B,19626,19国债16,0.01,100
SSE,B,19629,20国债03,0.01,100.19
SSE,B,19630,20国债04,0.01,99.6
SSE,B,19631,20国债05,0.01,98.58
SSE,B,19632,20国债06,0.01,98.91
SSE,B,19633,20国债07,0.01,105.78
SSE,B,19634,20国债08,0.01,100
SSE,B,19635,20特国01,0.01,99.61
SSE,B,19636,20特国02,0.01,100
SSE,B,19637,20特国03,0.01,100
SSE,B,19638,20国债09,0.01,100.06
SSE,B,19639,20特国04,0.01,99.6
SSE,B,19641,20国债11,0.01,100.33
SSE,B,19642,20国债12,0.01,108.72
SSE,B,19643,20国债13,0.01,101.58
SSE,B,19644,20国债14,0.01,100
SSE,B,19646,20国债16,0.01,100
SSE,B,19647,20国债17,0.01,102.98
SSE,B,19648,20国债18,0.01,100.84
SSE,B,19650,21国债02,0.01,101.65
SSE,B,19651,21国债03,0.01,100
SSE,B,19652,21国债04,0.01,100
SSE,B,19653,21国债05,0.01,105.73
SSE,B,19654,21国债06,0.01,100.13
SSE,B,19655,21国债07,0.01,100.85
SSE,B,19656,21国债08,0.01,100.35
SSE,B,19657,21国债09,0.01,101.49
SSE,B,19658,21国债10,0.01,100.06
SSE,B,19659,21国债11,0.01,100
SSE,B,19660,21国债12,0.01,100
SSE,B,19661,21国债13,0.01,100
SSE,B,19662,21国债14,0.01,100
SSE,B,19663,21国债15,0.01,100.6
SSE,B,19664,21国债16,0.01,100.23
SSE,B,19665,21国债17,0.01,100
SSE,B,19666,22国债01,0.01,100.18
SSE,B,19667,22国债02,0.01,100
SSE,B,19802,08国债02,0.01,100
SSE,B,19806,08国债06,0.01,100
SSE,B,19813,08国债13,0.01,100
SSE,B,19820,08国债20,0.01,100
SSE,B,19823,08国债23,0.01,100
SSE,B,19902,09国债02,0.01,100
SSE,B,19905,09国债05,0.01,100
SSE,B,19911,09国债11,0.01,100
SSE,B,19920,09国债20,0.01,100
SSE,B,19925,09国债25,0.01,95.01
SSE,B,19930,09国债30,0.01,100
SSE,B,20436,21贴债39,0.01,99.03
SSE,B,20439,21贴债42,0.01,98.95
SSE,B,20443,21贴债46,0.01,99.6
SSE,B,20445,21贴债48,0.01,98.85
SSE,B,20447,21贴债50,0.01,98.92
SSE,B,20450,21贴债53,0.01,98.86
SSE,B,20453,21贴债56,0.01,99.1
SSE,B,20454,21贴债57,0.01,99.47
SSE,B,20455,21贴债58,0.01,99.51
SSE,B,20456,21贴债59,0.01,98.92
SSE,B,20457,21贴债60,0.01,99.47
SSE,B,20458,21贴债61,0.01,99.51
SSE,B,20459,21贴债62,0.01,99.46
SSE,B,20460,21贴债63,0.01,98.87
SSE,B,20461,21贴债64,0.01,99.43
SSE,B,20462,22贴债01,0.01,99.53
SSE,B,20463,22贴债02,0.01,99.06
SSE,B,20464,22贴债03,0.01,99.56
SSE,B,20465,22贴债04,0.01,99.1
SSE,B,20466,22贴债05,0.01,99.62
SSE,B,101000,21天津47,0.01,100
SSE,B,101001,21天津48,0.01,100
SSE,B,101002,21天津49,0.01,100
SSE,B,101003,21天津50,0.01,100
SSE,B,101004,21吉林56,0.01,100
SSE,B,101005,21吉林57,0.01,100
SSE,B,101006,21吉林58,0.01,100
SSE,B,101007,21吉林59,0.01,100
SSE,B,101008,21吉林60,0.01,100
SSE,B,101009,21吉林61,0.01,100
SSE,B,101010,21吉林62,0.01,100
SSE,B,101011,21新疆36,0.01,100
SSE,B,101012,21新疆37,0.01,100
SSE,B,101013,21江西35,0.01,100
SSE,B,101014,21江西36,0.01,100
SSE,B,101015,21江西37,0.01,100
SSE,B,101016,21江西38,0.01,100
SSE,B,101017,21江西39,0.01,100
SSE,B,101018,21江西40,0.01,100
